635558	"Tuple{typeof(Base.ht_keyindex), Base.Dict{Int64, DataType}, Int32}"
230846	"Tuple{typeof(NCDatasets.nc_inq_var), Int32, Int32}"
307839	"Tuple{typeof(NCDatasets.nc_inq_dimlen), Int32, Int32}"
519419	"Tuple{typeof(Base.reverse), Array{Int32, 1}, Int64, Int64}"
61532	"Tuple{typeof(NCDatasets.variable), NCDatasets.Dataset, String}"
137316	"Tuple{typeof(Base.getindex), NCDatasets.Dataset, String}"
128901	"Tuple{Type{NCDatasets.Variable{Float32, 4}}, Int32, Int32, Tuple{Int32, Int32, Int32, Int32}, NCDatasets.Attributes, Array{Bool, 1}}"
82402	"Tuple{Type{NCDatasets.CFVariable{Union{Base.Missing, Float64}, 4, NCDatasets.Variable{Float32, 4}, NCDatasets.Attributes}}, NCDatasets.Variable{Float32, 4}, NCDatasets.Attributes}"
611422	"Tuple{typeof(NCDatasets.nc_inq_dimname), Int32, Int32}"
92391	"Tuple{typeof(NCDatasets.dimnames), NCDatasets.CFVariable{Union{Base.Missing, Float64}, 4, NCDatasets.Variable{Float32, 4}, NCDatasets.Attributes}}"
119223	"Tuple{Type{NCDatasets.Variable{Float32, 1}}, Int32, Int32, Tuple{Int32}, NCDatasets.Attributes, Array{Bool, 1}}"
61653	"Tuple{Type{NCDatasets.CFVariable{Union{Base.Missing, Float64}, 1, NCDatasets.Variable{Float32, 1}, NCDatasets.Attributes}}, NCDatasets.Variable{Float32, 1}, NCDatasets.Attributes}"
90468	"Tuple{typeof(Core.Compiler.getindex), Tuple{typeof(Base.:(==))}, Int64}"
157627	"Tuple{typeof(Core.Compiler.getindex), Tuple{Base.Broadcast.DefaultArrayStyle{0}, typeof(Base.identity), Bool}, Int64}"
93861	"Tuple{typeof(Core.Compiler.getindex), Tuple{typeof(Base.unsafe_string)}, Int64}"
529705	"Tuple{typeof(NCDatasets.nc_inq_varnatts), Int32, Int32}"
397357	"Tuple{typeof(NCDatasets.nc_inq_attname), Int32, Int32, Int64}"
54799	"Tuple{typeof(NCDatasets.listAtt), Int32, Int32}"
1982135	"Tuple{typeof(NCDatasets.nc_inq_att), Int32, Int32, String}"
